,Result
Akoum Warrior | Akoum Warrior | Glimpse of Tomorrow,1.0
Alpine Moon | Hammerheim | Heartfire Hero,0.0
Ancient Tomb | Idol of False Gods | The Filigree Sylex,0.0
Assassin's Trophy | Golgari Rot Farm | Treetop Village,0.0
Blazing Rootwalla | Restore Balance | Undiscovered Paradise,0.0
Blinding Angel | Mana Vault | Remote Farm,1.0
Calciform Pools | March of Otherworldly Light | Mirrex,-1.0
Dismember | Eldrazi Temple | Idol of False Gods,-0.5
Dryad Arbor | Dryad Arbor | Fishing Pole,-1.0
Field of Ruin | Remote Farm | Skrelv's Hive,0.5
Field of Ruin | Sandstone Needle | Stingerback Terror,-1.0
Gilded Drake | Homeward Path | Mox Sapphire,1.0
Icatian Store | Solitude | Student of Warfare,0.0
Island | Mark of Eviction | Sleep-Cursed Faerie,0.0
Island | Sleep-Cursed Faerie | Sleep-Cursed Faerie,-1.0
Mana Crypt | Phyrexian Dreadnought | The Mycosynth Gardens,1.0
Mesmeric Fiend | Mishra's Factory | Mox Jet,0.0
Mishra's Factory | Mox Jet | Nezumi Shortfang,0.0
Mishra's Factory | Mox Jet | Sphere of Resistance,0.0
Mishra's Factory | Rishadan Port | The Tabernacle at Pendrell Vale,-1.0
"Mu Yanling, Sky Dancer | Quicksand | Saprazzan Skerry",1.0
Nether Spirit | Peat Bog | Smallpox,1.0
On Thin Ice | Snow-Covered Plains | Student of Warfare,-0.5
